fecha,latitud,longitud,alcaldia,colonia,temp,precip,humedad,viento,radiacion,presion,incidente
2019-06-23,19.244348,-99.068539,XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.244348,-99.068539,XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.245089,-99.074115,XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Encharcamiento
2019-06-23,19.245089,-99.074115,XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.245089,-99.074115,XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.24605,-99.085995,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Encharcamiento
2019-06-23,19.24605,-99.085995,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Encharcamiento
2019-06-23,19.24605,-99.085995,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.24605,-99.085995,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.24605,-99.085995,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.254608,-99.056358,XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),17.04,10.67,75.58,1.06,4.7165,74.6,Encharcamiento
2019-06-23,19.250984,-99.088651,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),16.98,10.92,75.98,0.47,4.7165,74.66,Encharcamiento
2019-06-23,19.450627,-99.14269,CUAUHTEMOC,GUERRERO I,16.98,10.92,75.98,0.47,4.7165,74.66,Encharcamiento
2019-06-23,19.25291,-99.124478,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),16.98,10.92,75.98,0.47,4.7165,74.66,Encharcamiento
2019-06-23,19.250903,-99.010259,XOCHIMILCO,NATIVITAS,17.04,10.67,75.58,1.06,4.7165,74.6,Encharcamiento
2019-06-23,19.456742,-99.14142,CUAUHTEMOC,SAN SIMON TOLNAHUAC,16.98,10.92,75.98,0.47,4.7165,74.66,Encharcamiento
2019-06-23,19.256757,-99.132149,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),16.98,10.92,75.98,0.47,4.7165,74.66,Encharcamiento
2019-06-23,19.256757,-99.132149,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),16.98,10.92,75.98,0.47,4.7165,74.66,Encharcamiento
2019-06-23,19.24605,-99.085995,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Encharcamiento
2019-06-23,19.24605,-99.085995,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Encharcamiento
2019-06-23,19.24605,-99.085995,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.24605,-99.085995,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-23,19.24605,-99.085995,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),19.54,13.46,76.32,1.02,4.7165,79.86,Inundacion
2019-06-24,19.250984,-99.088651,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),16.12,14.31,78.72,1.03,4.1076,74.6,Inundacion
2019-06-23,19.463333,-99.139305,CUAUHTEMOC,PERALVILLO I,16.98,10.92,75.98,0.47,4.7165,74.66,Inundacion
2019-06-23,19.445197,-99.144375,CUAUHTEMOC,GUERRERO III,16.98,10.92,75.98,0.47,4.7165,74.66,Inundacion
2019-06-23,19.459537,-99.138299,CUAUHTEMOC,EX HIPODROMO DE PERALVILLO,16.98,10.92,75.98,0.47,4.7165,74.66,Inundacion
2019-06-25,19.442228,-99.135666,CUAUHTEMOC,CENTRO I,16.18,3.33,74.11,0.88,3.9204,74.64,Encharcamiento
2019-06-25,19.42455,-99.143055,CUAUHTEMOC,DOCTORES I,16.18,3.33,74.11,0.88,3.9204,74.64,Encharcamiento
2019-03-25,19.362261,-99.143391,BENITO JUAREZ,PORTALES III,15.27,0.0,46.13,1.59,7.5062,74.69,Inundacion
2019-03-31,19.415246,-99.142491,CUAUHTEMOC,OBRERA II,15.67,0.05,40.24,0.94,6.4853,74.51,Encharcamiento
2019-03-04,19.449164,-99.165007,MIGUEL HIDALGO,AGRICULTURA,16.26,2.3,56.87,0.66,5.3335,74.61,Encharcamiento
2019-03-04,19.485617,-99.116114,GUSTAVO A. MADERO,VILLA GUSTAVO A MADERO,16.26,2.3,56.87,0.66,5.3335,74.61,Encharcamiento
2019-03-07,19.301381,-99.193577,TLALPAN,PARQUES DEL PEDREGAL,16.64,0.49,42.22,0.57,6.24,74.77,Inundacion
2019-03-05,19.361204,-98.999794,IZTAPALAPA,ERMITA ZARAGOZA (U HAB) I,16.38,1.25,55.18,0.68,6.066,74.68,Encharcamiento
2019-03-05,19.361204,-98.999794,IZTAPALAPA,ERMITA ZARAGOZA (U HAB) I,16.38,1.25,55.18,0.68,6.066,74.68,Inundacion
2019-06-27,19.349258,-99.303687,CUAJIMALPA DE MORELOS,EL CONTADERO,16.31,1.18,67.79,1.54,6.888,74.78,Inundacion
2019-06-27,19.261099,-99.166428,TLALPAN,TECORRAL,16.31,1.18,67.79,1.54,6.888,74.78,Inundacion
2019-02-26,19.339096,-99.189827,COYOACAN,COPILCO EL BAJO,15.04,0.17,56.21,1.09,5.6465,74.75,Encharcamiento
2019-06-21,19.51096,-99.201776,AZCAPOTZALCO,EL ROSARIO B (U HAB),17.95,3.64,68.61,0.42,5.9359,74.69,Encharcamiento
2019-06-21,19.51096,-99.201776,AZCAPOTZALCO,EL ROSARIO B (U HAB),17.95,3.64,68.61,0.42,5.9359,74.69,Encharcamiento
2019-06-21,19.466677,-99.141863,GUSTAVO A. MADERO,VALLEJO PONIENTE,17.95,3.64,68.61,0.42,5.9359,74.69,Encharcamiento
2019-06-20,19.472717,-99.129961,GUSTAVO A. MADERO,INDUSTRIAL II,18.04,3.2,66.66,0.79,6.1462,74.65,Encharcamiento
2019-03-22,19.38866,-99.138395,BENITO JUAREZ,VILLA DE CORTES,13.98,1.42,58.08,1.0,6.4042,74.62,Encharcamiento
2019-06-27,19.417334,-99.12149,VENUSTIANO CARRANZA,LORENZO BOTURINI,16.31,1.18,67.79,1.54,6.888,74.78,Inundacion
2019-06-20,19.472029,-99.061749,GUSTAVO A. MADERO,LA PRADERA I (U HAB),17.97,3.26,67.72,0.85,6.1462,74.6,Inundacion
2019-06-20,19.472029,-99.061749,GUSTAVO A. MADERO,LA PRADERA I (U HAB),17.97,3.26,67.72,0.85,6.1462,74.6,Inundacion
2019-06-20,19.472029,-99.061749,GUSTAVO A. MADERO,LA PRADERA I (U HAB),17.97,3.26,67.72,0.85,6.1462,74.6,Inundacion
2019-06-20,19.491028,-99.087166,GUSTAVO A. MADERO,NUEVA ATZACOALCO III,18.04,3.2,66.66,0.79,6.1462,74.65,Inundacion
2019-06-20,19.472029,-99.061749,GUSTAVO A. MADERO,LA PRADERA I (U HAB),17.97,3.26,67.72,0.85,6.1462,74.6,Inundacion
